datetime,open,high,low,close,volume,amount
2026-02-10 09:30:00,1524.97,1524.97,1524.97,1524.97,213,32481861.0
2026-02-10 09:31:00,1524.96,1524.96,1515.0,1515.02,475,72160152.0
2026-02-10 09:32:00,1515.01,1515.01,1508.55,1508.58,694,104868475.0
2026-02-10 09:33:00,1508.8,1509.69,1503.99,1504.14,1038,156556904.0
2026-02-10 09:34:00,1503.81,1504.24,1501.0,1504.24,1077,161870438.0
2026-02-10 09:35:00,1506.09,1508.68,1504.84,1508.0,654,98509498.0
2026-02-10 09:36:00,1508.0,1508.51,1503.8,1504.13,648,97583771.0
2026-02-10 09:37:00,1504.51,1507.76,1504.01,1506.01,527,79352125.0
2026-02-10 09:38:00,1506.03,1510.05,1506.03,1510.04,312,47041093.0
2026-02-10 09:39:00,1510.37,1510.37,1507.0,1507.0,272,41032966.0
2026-02-10 09:40:00,1507.0,1507.0,1505.8,1506.6,334,50309762.0
2026-02-10 09:41:00,1506.58,1506.69,1501.68,1501.68,643,96698414.0
2026-02-10 09:42:00,1501.88,1502.13,1500.1,1501.92,1213,182086603.0
2026-02-10 09:43:00,1503.0,1503.99,1501.44,1502.98,269,40436329.0
2026-02-10 09:44:00,1502.57,1502.57,1500.0,1500.0,681,102242059.0
2026-02-10 09:45:00,1500.0,1500.97,1500.0,1500.0,720,107982042.0
2026-02-10 09:46:00,1500.0,1500.0,1498.1,1499.0,879,131807869.0
2026-02-10 09:47:00,1499.8,1500.5,1499.3,1499.79,583,87381167.0
2026-02-10 09:48:00,1500.3,1500.3,1499.34,1499.39,328,49241509.0
2026-02-10 09:49:00,1499.37,1501.86,1499.37,1501.86,339,50860096.0
2026-02-10 09:50:00,1501.88,1502.0,1500.57,1500.59,201,30163677.0
2026-02-10 09:51:00,1500.57,1500.99,1500.01,1500.25,206,30851079.0
2026-02-10 09:52:00,1500.24,1502.01,1500.24,1502.01,265,39782050.0
2026-02-10 09:53:00,1502.03,1502.03,1499.36,1499.4,324,48676699.0
2026-02-10 09:54:00,1499.39,1499.39,1498.37,1498.38,343,51413940.0
2026-02-10 09:55:00,1498.18,1498.18,1496.5,1497.19,672,100610765.0
2026-02-10 09:56:00,1497.84,1499.19,1497.25,1499.19,229,34310408.0
2026-02-10 09:57:00,1500.0,1501.0,1499.54,1500.9,178,26705196.0
2026-02-10 09:58:00,1500.94,1501.8,1500.87,1501.79,138,20663415.0
2026-02-10 09:59:00,1501.11,1504.0,1501.1,1503.99,236,35534943.0
2026-02-10 10:00:00,1504.0,1504.49,1503.68,1503.68,141,21206577.0
2026-02-10 10:01:00,1503.67,1506.51,1503.64,1505.88,333,50127951.0
2026-02-10 10:02:00,1505.99,1505.99,1502.0,1502.0,196,29488005.0
2026-02-10 10:03:00,1502.0,1503.06,1501.44,1502.06,120,18029831.0
2026-02-10 10:04:00,1502.2,1504.5,1502.07,1503.05,165,24802317.0
2026-02-10 10:05:00,1503.06,1503.06,1500.9,1501.47,161,24179626.0
2026-02-10 10:06:00,1501.07,1503.06,1501.07,1502.01,126,18926230.0
2026-02-10 10:07:00,1502.01,1503.1,1502.0,1503.02,50,7512365.0
2026-02-10 10:08:00,1503.03,1504.98,1503.03,1504.46,187,28118639.0
2026-02-10 10:09:00,1504.39,1504.4,1503.2,1503.2,96,14434848.0
2026-02-10 10:10:00,1503.16,1503.36,1502.02,1503.19,91,13678261.0
2026-02-10 10:11:00,1503.19,1503.19,1502.0,1502.0,66,9915980.0
2026-02-10 10:12:00,1502.01,1503.02,1501.5,1503.02,189,28384450.0
2026-02-10 10:13:00,1503.02,1503.02,1502.04,1502.05,72,10817851.0
2026-02-10 10:14:00,1502.03,1502.05,1501.47,1501.47,82,12314110.0
2026-02-10 10:15:00,1501.44,1501.44,1500.0,1500.0,220,33009981.0
2026-02-10 10:16:00,1500.0,1500.81,1500.0,1500.15,147,22068844.0
2026-02-10 10:17:00,1500.27,1500.27,1500.01,1500.01,124,18602201.0
2026-02-10 10:18:00,1500.01,1500.88,1500.01,1500.3,143,21520529.0
2026-02-10 10:19:00,1500.78,1500.81,1499.98,1499.98,209,31288398.0
2026-02-10 10:20:00,1499.99,1499.99,1499.0,1499.1,114,17093528.0
2026-02-10 10:21:00,1499.0,1499.86,1499.0,1499.19,226,33837676.0
2026-02-10 10:22:00,1499.2,1499.8,1498.58,1498.79,146,21889452.0
2026-02-10 10:23:00,1498.5,1499.85,1498.3,1499.85,145,21734154.0
2026-02-10 10:24:00,1499.79,1500.0,1499.79,1499.96,99,14849478.0
2026-02-10 10:25:00,1499.96,1501.0,1499.9,1501.0,162,24301866.0
2026-02-10 10:26:00,1501.0,1501.0,1499.91,1499.99,135,20256654.0
2026-02-10 10:27:00,1500.0,1500.09,1500.0,1500.0,84,12600155.0
2026-02-10 10:28:00,1499.99,1500.01,1499.92,1499.96,98,14699667.0
2026-02-10 10:29:00,1499.95,1500.35,1499.89,1499.91,101,15149832.0
2026-02-10 10:30:00,1499.99,1500.0,1498.8,1498.8,98,14694039.0
2026-02-10 10:31:00,1498.8,1499.0,1498.4,1498.53,76,11390084.0
2026-02-10 10:32:00,1498.9,1499.53,1498.9,1499.46,78,11693281.0
2026-02-10 10:33:00,1499.07,1499.11,1498.9,1498.9,112,16759596.0
2026-02-10 10:34:00,1498.91,1499.86,1498.51,1498.92,118,17687290.0
2026-02-10 10:35:00,1498.91,1500.0,1498.91,1499.06,46,6898165.0
2026-02-10 10:36:00,1499.86,1499.99,1499.21,1499.22,47,7047795.0
2026-02-10 10:37:00,1499.88,1500.89,1499.85,1500.89,125,18751224.0
2026-02-10 10:38:00,1500.89,1503.0,1500.3,1503.0,103,15493258.0
2026-02-10 10:39:00,1503.0,1503.69,1502.6,1502.81,107,16112285.0
2026-02-10 10:40:00,1502.8,1504.51,1502.8,1504.51,97,14588855.0
2026-02-10 10:41:00,1504.5,1504.51,1503.02,1503.12,53,7974470.0
2026-02-10 10:42:00,1504.04,1504.9,1504.04,1504.65,77,11584919.0
2026-02-10 10:43:00,1504.96,1504.99,1504.68,1504.89,46,6922628.0
2026-02-10 10:44:00,1504.89,1504.96,1504.69,1504.88,57,8577465.0
2026-02-10 10:45:00,1504.88,1505.88,1504.81,1505.87,193,28998539.0
2026-02-10 10:46:00,1506.0,1507.0,1505.9,1506.98,183,27571395.0
2026-02-10 10:47:00,1507.0,1507.0,1506.72,1506.89,73,10999754.0
2026-02-10 10:48:00,1506.0,1506.77,1505.04,1506.44,89,13402741.0
2026-02-10 10:49:00,1506.04,1506.7,1505.14,1506.0,65,9788966.0
2026-02-10 10:50:00,1506.0,1506.6,1506.0,1506.21,62,9338639.0
2026-02-10 10:51:00,1506.21,1507.99,1506.21,1507.8,151,22756577.0
2026-02-10 10:52:00,1507.59,1508.97,1507.58,1508.96,185,27897997.0
2026-02-10 10:53:00,1508.98,1509.2,1507.1,1507.33,145,21873720.0
2026-02-10 10:54:00,1507.44,1508.88,1507.33,1508.06,86,12920302.0
2026-02-10 10:55:00,1508.66,1508.79,1507.1,1507.1,69,10407057.0
2026-02-10 10:56:00,1507.6,1508.13,1507.6,1508.13,71,10704913.0
2026-02-10 10:57:00,1507.73,1508.14,1507.1,1507.1,90,13569494.0
2026-02-10 10:58:00,1507.06,1507.81,1506.05,1507.75,123,18534838.0
2026-02-10 10:59:00,1507.74,1507.81,1506.89,1507.01,49,7386154.0
2026-02-10 11:00:00,1507.01,1507.7,1507.01,1507.06,115,17335243.0
2026-02-10 11:01:00,1507.3,1508.3,1507.3,1508.21,144,21715411.0
2026-02-10 11:02:00,1508.2,1510.0,1508.2,1509.98,209,31548134.0
2026-02-10 11:03:00,1509.99,1511.07,1509.84,1511.07,185,27889092.0
2026-02-10 11:04:00,1510.98,1511.11,1509.84,1509.84,96,14501125.0
2026-02-10 11:05:00,1509.82,1509.82,1508.21,1509.71,71,10713376.0
2026-02-10 11:06:00,1509.11,1509.11,1508.0,1508.0,101,15233999.0
2026-02-10 11:07:00,1507.01,1507.53,1506.12,1506.17,47,7080953.0
2026-02-10 11:08:00,1506.18,1506.99,1506.16,1506.59,55,8284915.0
2026-02-10 11:09:00,1506.8,1507.86,1506.8,1507.86,41,6179911.0
2026-02-10 11:10:00,1507.34,1507.99,1507.34,1507.38,57,8593484.0
2026-02-10 11:11:00,1507.38,1508.0,1507.0,1508.0,57,8592233.0
2026-02-10 11:12:00,1508.01,1508.01,1507.21,1507.99,80,12063554.0
2026-02-10 11:13:00,1508.13,1508.92,1508.0,1508.04,117,17648802.0
2026-02-10 11:14:00,1507.98,1509.01,1507.9,1509.0,59,8900300.0
2026-02-10 11:15:00,1509.48,1509.72,1509.0,1509.24,55,8301477.0
2026-02-10 11:16:00,1509.24,1509.48,1508.63,1508.63,102,15390324.0
2026-02-10 11:17:00,1508.03,1508.63,1507.92,1507.92,48,7238889.0
2026-02-10 11:18:00,1507.93,1508.08,1507.83,1508.05,50,7539726.0
2026-02-10 11:19:00,1507.87,1508.05,1507.84,1507.85,81,12213974.0
2026-02-10 11:20:00,1507.93,1508.04,1507.8,1508.04,47,7087143.0
2026-02-10 11:21:00,1508.5,1509.0,1508.09,1508.83,59,8900095.0
2026-02-10 11:22:00,1509.03,1509.5,1509.03,1509.48,49,7395780.0
2026-02-10 11:23:00,1509.41,1509.93,1509.4,1509.93,69,10446085.0
2026-02-10 11:24:00,1509.9,1510.86,1509.9,1510.27,90,13591143.0
2026-02-10 11:25:00,1510.21,1510.24,1509.06,1509.06,70,10570435.0
2026-02-10 11:26:00,1509.5,1510.34,1509.01,1510.34,79,11924104.0
2026-02-10 11:27:00,1510.03,1510.65,1510.03,1510.5,58,8760464.0
2026-02-10 11:28:00,1510.4,1510.4,1510.0,1510.02,45,6795819.0
2026-02-10 11:29:00,1510.02,1511.86,1510.02,1511.65,119,17996393.0
2026-02-10 11:30:00,1511.62,1511.79,1511.21,1511.35,61,9220339.0
2026-02-10 13:01:00,1509.62,1512.35,1509.62,1510.5,526,79523718.0
2026-02-10 13:02:00,1510.5,1511.67,1509.52,1509.52,58,8758865.0
2026-02-10 13:03:00,1509.82,1509.82,1509.61,1509.64,85,12832369.0
2026-02-10 13:04:00,1509.63,1511.88,1509.51,1511.02,120,18123059.0
2026-02-10 13:05:00,1511.03,1511.03,1510.91,1511.02,95,14354546.0
2026-02-10 13:06:00,1511.01,1512.0,1510.54,1510.54,182,27510788.0
2026-02-10 13:07:00,1509.5,1509.8,1509.01,1509.71,90,13585616.0
2026-02-10 13:08:00,1509.81,1510.13,1509.81,1510.11,54,8154050.0
2026-02-10 13:09:00,1509.85,1511.67,1509.83,1511.67,101,15254592.0
2026-02-10 13:10:00,1512.0,1512.9,1511.81,1512.69,71,10735768.0
2026-02-10 13:11:00,1512.71,1513.56,1512.71,1513.13,106,16056181.0
2026-02-10 13:12:00,1513.24,1513.32,1512.72,1512.72,53,8018836.0
2026-02-10 13:13:00,1512.85,1512.85,1511.91,1512.63,61,9226220.0
2026-02-10 13:14:00,1512.43,1512.43,1511.16,1511.95,56,8466458.0
2026-02-10 13:15:00,1511.26,1511.95,1511.24,1511.95,85,12890626.0
2026-02-10 13:16:00,1511.95,1511.95,1509.68,1509.68,114,17210548.0
2026-02-10 13:17:00,1509.67,1509.69,1508.5,1508.5,74,11167998.0
2026-02-10 13:18:00,1508.02,1508.62,1508.0,1508.0,70,10558479.0
2026-02-10 13:19:00,1508.0,1508.0,1507.04,1507.08,67,10100582.0
2026-02-10 13:20:00,1507.32,1507.77,1507.06,1507.18,80,12059007.0
2026-02-10 13:21:00,1507.34,1507.75,1507.18,1507.18,84,12588206.0
2026-02-10 13:22:00,1507.32,1508.01,1507.32,1507.63,62,9346797.0
2026-02-10 13:23:00,1507.4,1508.0,1507.4,1507.52,69,10402839.0
2026-02-10 13:24:00,1507.52,1507.55,1507.4,1507.4,68,10250930.0
2026-02-10 13:25:00,1507.4,1507.5,1507.36,1507.36,56,8441527.0
2026-02-10 13:26:00,1507.36,1507.36,1507.04,1507.04,54,8097258.0
2026-02-10 13:27:00,1507.2,1507.2,1506.44,1506.46,167,25129735.0
2026-02-10 13:28:00,1506.57,1506.57,1504.87,1504.87,165,24842630.0
2026-02-10 13:29:00,1504.99,1506.44,1504.99,1506.01,93,14003741.0
2026-02-10 13:30:00,1506.01,1506.02,1505.79,1505.9,75,11294700.0
2026-02-10 13:31:00,1505.9,1505.9,1505.0,1505.32,108,16257712.0
2026-02-10 13:32:00,1505.36,1505.6,1504.8,1504.8,116,17460882.0
2026-02-10 13:33:00,1504.7,1504.7,1503.25,1503.32,87,13084866.0
2026-02-10 13:34:00,1503.99,1505.55,1503.32,1505.02,266,40021244.0
2026-02-10 13:35:00,1504.1,1505.13,1504.1,1505.06,91,13694856.0
2026-02-10 13:36:00,1505.78,1506.04,1505.1,1505.1,66,9937110.0
2026-02-10 13:37:00,1505.1,1505.92,1505.05,1505.92,92,13850610.0
2026-02-10 13:38:00,1505.88,1506.0,1505.88,1505.94,58,8734472.0
2026-02-10 13:39:00,1505.94,1506.31,1505.34,1505.34,139,20932341.0
2026-02-10 13:40:00,1505.0,1505.05,1504.18,1504.27,104,15647636.0
2026-02-10 13:41:00,1504.27,1504.31,1504.26,1504.28,115,17299179.0
2026-02-10 13:42:00,1504.28,1504.9,1504.27,1504.28,147,22115164.0
2026-02-10 13:43:00,1504.26,1504.26,1503.06,1503.06,135,20300379.0
2026-02-10 13:44:00,1503.03,1503.84,1503.01,1503.31,191,28729097.0
