datetime,close,open,high,low,volume,amount
2026-02-10 09:30:00,1496.94577,1496.94577,1496.94577,1496.94577,213,32481861.0
2026-02-10 09:31:00,1486.99577,1496.93577,1496.93577,1486.97577,475,72160152.0
2026-02-10 09:32:00,1480.55577,1486.98577,1486.98577,1480.52577,694,104868475.0
2026-02-10 09:33:00,1476.11577,1480.77577,1481.66577,1475.96577,1038,156556904.00000003
2026-02-10 09:34:00,1476.21577,1475.78577,1476.21577,1472.97577,1077,161870438.0
2026-02-10 09:35:00,1479.97577,1478.06577,1480.6557699999998,1476.81577,654,98509498.0
2026-02-10 09:36:00,1476.10577,1479.97577,1480.48577,1475.77577,648,97583771.00000001
2026-02-10 09:37:00,1477.98577,1476.48577,1479.73577,1475.98577,527,79352125.00000001
2026-02-10 09:38:00,1482.01577,1478.00577,1482.02577,1478.00577,312,47041093.0
2026-02-10 09:39:00,1478.97577,1482.34577,1482.34577,1478.97577,272,41032966.0
2026-02-10 09:40:00,1478.57577,1478.97577,1478.97577,1477.77577,334,50309760.99999999
2026-02-10 09:41:00,1473.65577,1478.5557700000002,1478.66577,1473.65577,643,96698413.0
2026-02-10 09:42:00,1473.89577,1473.8557700000001,1474.1057700000001,1472.0757700000001,1213,182086603.0
2026-02-10 09:43:00,1474.95577,1474.97577,1475.96577,1473.41577,269,40436329.0
2026-02-10 09:44:00,1471.97577,1474.54577,1474.54577,1471.97577,681,102242059.00000001
2026-02-10 09:45:00,1471.97577,1471.97577,1472.94577,1471.97577,720,107982042.0
2026-02-10 09:46:00,1470.9757700000002,1471.9757700000002,1471.9757700000002,1470.0757700000001,879,131807869.00000001
2026-02-10 09:47:00,1471.76577,1471.77577,1472.47577,1471.27577,583,87381167.0
2026-02-10 09:48:00,1471.3657699999999,1472.27577,1472.27577,1471.31577,328,49241509.00000001
2026-02-10 09:49:00,1473.8357700000001,1471.3457700000001,1473.8357700000001,1471.3457700000001,339,50860096.0
2026-02-10 09:50:00,1472.56577,1473.85577,1473.97577,1472.54577,201,30163677.000000004
2026-02-10 09:51:00,1472.22577,1472.54577,1472.96577,1471.98577,206,30851079.0
2026-02-10 09:52:00,1473.98577,1472.21577,1473.98577,1472.21577,265,39782050.0
2026-02-10 09:53:00,1471.37577,1474.0057700000002,1474.0057700000002,1471.3357700000001,324,48676699.0
2026-02-10 09:54:00,1470.3557700000001,1471.36577,1471.36577,1470.3457700000001,343,51413940.00000001
2026-02-10 09:55:00,1469.16577,1470.15577,1470.15577,1468.47577,672,100610765.0
2026-02-10 09:56:00,1471.16577,1469.81577,1471.16577,1469.22577,229,34310408.0
2026-02-10 09:57:00,1472.8757699999999,1471.97577,1472.97577,1471.51577,178,26705196.0
2026-02-10 09:58:00,1473.7657700000002,1472.91577,1473.7757700000002,1472.8457700000001,138,20663415.0
2026-02-10 09:59:00,1475.9657700000002,1473.0857700000001,1475.9757700000002,1473.0757700000001,236,35534943.0
2026-02-10 10:00:00,1475.65577,1475.97577,1476.46577,1475.65577,141,21206577.0
2026-02-10 10:01:00,1477.8557700000001,1475.64577,1478.48577,1475.61577,333,50127951.00000001
2026-02-10 10:02:00,1473.97577,1477.96577,1477.96577,1473.97577,196,29488005.0
2026-02-10 10:03:00,1474.03577,1473.97577,1475.03577,1473.41577,120,18029831.0
2026-02-10 10:04:00,1475.02577,1474.17577,1476.47577,1474.04577,165,24802317.0
2026-02-10 10:05:00,1473.44577,1475.0357700000002,1475.0357700000002,1472.87577,161,24179626.000000004
2026-02-10 10:06:00,1473.98577,1473.04577,1475.03577,1473.04577,126,18926230.0
2026-02-10 10:07:00,1474.99577,1473.98577,1475.07577,1473.97577,50,7512365.0
2026-02-10 10:08:00,1476.43577,1475.00577,1476.95577,1475.00577,187,28118639.0
2026-02-10 10:09:00,1475.17577,1476.36577,1476.37577,1475.17577,96,14434848.0
2026-02-10 10:10:00,1475.16577,1475.13577,1475.33577,1473.99577,91,13678261.0
2026-02-10 10:11:00,1473.97577,1475.16577,1475.16577,1473.97577,66,9915980.0
2026-02-10 10:12:00,1474.99577,1473.98577,1474.99577,1473.47577,189,28384450.0
2026-02-10 10:13:00,1474.02577,1474.99577,1474.99577,1474.01577,72,10817850.0
2026-02-10 10:14:00,1473.44577,1474.00577,1474.02577,1473.44577,82,12314110.0
2026-02-10 10:15:00,1471.97577,1473.41577,1473.41577,1471.97577,220,33009981.000000004
2026-02-10 10:16:00,1472.12577,1471.97577,1472.78577,1471.97577,147,22068844.0
2026-02-10 10:17:00,1471.98577,1472.24577,1472.24577,1471.98577,124,18602201.0
2026-02-10 10:18:00,1472.27577,1471.98577,1472.85577,1471.98577,144,21520528.0
2026-02-10 10:19:00,1471.95577,1472.75577,1472.78577,1471.95577,208,31288398.0
2026-02-10 10:20:00,1471.07577,1471.96577,1471.96577,1470.97577,114,17093528.000000004
2026-02-10 10:21:00,1471.16577,1470.97577,1471.83577,1470.97577,226,33837676.00000001
2026-02-10 10:22:00,1470.76577,1471.1757699999998,1471.77577,1470.55577,146,21889452.0
2026-02-10 10:23:00,1471.82577,1470.47577,1471.82577,1470.27577,145,21734154.0
2026-02-10 10:24:00,1471.93577,1471.76577,1471.97577,1471.76577,99,14849478.0
2026-02-10 10:25:00,1472.97577,1471.93577,1472.97577,1471.87577,162,24301866.000000004
2026-02-10 10:26:00,1471.96577,1472.97577,1472.97577,1471.88577,135,20256654.000000004
2026-02-10 10:27:00,1471.97577,1471.97577,1472.06577,1471.97577,84,12600155.0
2026-02-10 10:28:00,1471.93577,1471.96577,1471.98577,1471.89577,98,14699666.0
2026-02-10 10:29:00,1471.88577,1471.92577,1472.3257700000001,1471.86577,101,15149832.0
2026-02-10 10:30:00,1470.77577,1471.96577,1471.97577,1470.77577,98,14694039.0
2026-02-10 10:31:00,1470.5057700000002,1470.7757700000002,1470.97577,1470.37577,76,11390084.0
2026-02-10 10:32:00,1471.43577,1470.87577,1471.5057700000002,1470.87577,78,11693281.0
2026-02-10 10:33:00,1470.87577,1471.0457700000002,1471.0857700000001,1470.87577,112,16759596.000000002
2026-02-10 10:34:00,1470.89577,1470.88577,1471.83577,1470.48577,118,17687290.0
2026-02-10 10:35:00,1471.0357700000002,1470.88577,1471.97577,1470.88577,46,6898165.000000001
2026-02-10 10:36:00,1471.19577,1471.8357700000001,1471.96577,1471.18577,47,7047795.0
2026-02-10 10:37:00,1472.86577,1471.8557700000001,1472.86577,1471.8257700000001,125,18751224.0
2026-02-10 10:38:00,1474.97577,1472.8657699999999,1474.97577,1472.27577,103,15493258.0
2026-02-10 10:39:00,1474.7857700000002,1474.9757700000002,1475.66577,1474.5757700000001,107,16112285.000000002
2026-02-10 10:40:00,1476.48577,1474.77577,1476.48577,1474.77577,97,14588855.0
2026-02-10 10:41:00,1475.09577,1476.47577,1476.48577,1474.99577,53,7974470.000000001
2026-02-10 10:42:00,1476.6257699999999,1476.01577,1476.8757699999999,1476.01577,77,11584919.0
2026-02-10 10:43:00,1476.86577,1476.93577,1476.96577,1476.65577,46,6922628.0
2026-02-10 10:44:00,1476.8557700000001,1476.86577,1476.93577,1476.66577,57,8577465.0
2026-02-10 10:45:00,1477.84577,1476.85577,1477.85577,1476.78577,193,28998539.0
2026-02-10 10:46:00,1478.95577,1477.97577,1478.97577,1477.87577,183,27571395.000000004
2026-02-10 10:47:00,1478.86577,1478.97577,1478.97577,1478.69577,73,10999753.0
2026-02-10 10:48:00,1478.41577,1477.97577,1478.74577,1477.01577,89,13402741.0
2026-02-10 10:49:00,1477.97577,1478.0157700000002,1478.67577,1477.11577,65,9788966.000000002
2026-02-10 10:50:00,1478.18577,1477.97577,1478.57577,1477.97577,62,9338639.0
2026-02-10 10:51:00,1479.77577,1478.18577,1479.96577,1478.18577,151,22756577.0
2026-02-10 10:52:00,1480.93577,1479.56577,1480.94577,1479.55577,185,27897997.0
2026-02-10 10:53:00,1479.3057700000002,1480.9557700000003,1481.17577,1479.0757700000001,145,21873720.0
2026-02-10 10:54:00,1480.03577,1479.4157699999998,1480.85577,1479.30577,85,12920302.0
2026-02-10 10:55:00,1479.0757700000001,1480.63577,1480.7657700000002,1479.0757700000001,69,10407057.000000002
2026-02-10 10:56:00,1480.1057700000001,1479.5757700000001,1480.1057700000001,1479.5757700000001,71,10704913.0
2026-02-10 10:57:00,1479.0757700000001,1479.7057700000003,1480.11577,1479.0757700000001,90,13569494.0
2026-02-10 10:58:00,1479.72577,1479.03577,1479.78577,1478.02577,123,18534838.0
2026-02-10 10:59:00,1478.98577,1479.71577,1479.7857700000002,1478.86577,49,7386154.0
2026-02-10 11:00:00,1479.03577,1478.98577,1479.67577,1478.98577,115,17335243.0
2026-02-10 11:01:00,1480.18577,1479.27577,1480.27577,1479.27577,144,21715411.0
2026-02-10 11:02:00,1481.95577,1480.17577,1481.97577,1480.17577,209,31548132.999999996
2026-02-10 11:03:00,1483.04577,1481.96577,1483.04577,1481.81577,185,27889092.0
2026-02-10 11:04:00,1481.81577,1482.95577,1483.08577,1481.81577,96,14501125.0
2026-02-10 11:05:00,1481.68577,1481.79577,1481.79577,1480.18577,71,10713376.0
2026-02-10 11:06:00,1479.97577,1481.08577,1481.08577,1479.97577,101,15233999.0
2026-02-10 11:07:00,1478.14577,1478.9857700000002,1479.5057700000002,1478.0957700000001,47,7080953.0
2026-02-10 11:08:00,1478.5657700000002,1478.15577,1478.96577,1478.13577,55,8284915.000000001
2026-02-10 11:09:00,1479.83577,1478.77577,1479.83577,1478.77577,41,6179911.000000001
2026-02-10 11:10:00,1479.35577,1479.31577,1479.96577,1479.31577,57,8593484.0
2026-02-10 11:11:00,1479.97577,1479.3557700000001,1479.97577,1478.97577,57,8592233.000000002
2026-02-10 11:12:00,1479.96577,1479.98577,1479.98577,1479.18577,80,12063554.000000002
2026-02-10 11:13:00,1480.01577,1480.1057700000001,1480.89577,1479.97577,117,17648802.0
2026-02-10 11:14:00,1480.97577,1479.95577,1480.98577,1479.87577,59,8900300.0
2026-02-10 11:15:00,1481.21577,1481.45577,1481.69577,1480.97577,55,8301477.000000001
2026-02-10 11:16:00,1480.6057700000001,1481.21577,1481.45577,1480.6057700000001,102,15390324.0
