date,nav,return,position
2025-01-02,1000000.0,0.0,0.0
2025-01-03,1000000.0,0.0,0.0
2025-01-06,1000000.0,0.0,0.0
2025-01-07,1000000.0,0.0,0.0
2025-01-08,1000000.0,0.0,0.0
2025-01-09,1000000.0,0.0,0.0
2025-01-10,1000000.0,0.0,0.0
2025-01-13,1000000.0,0.0,0.0
2025-01-14,1000000.0,0.0,0.0
2025-01-15,1000000.0,0.0,0.0
2025-01-16,1000000.0,0.0,0.0
2025-01-17,1000000.0,0.0,0.0
2025-01-20,999701.1343,-0.0002988656999999284,0.9965168246983751
2025-01-21,995046.1343000002,-0.004953865699999893,0.996500529794581
2025-01-22,976041.1343,-0.023958865699999943,0.996432389806504
2025-01-23,977148.9466,-0.022851053399999932,0.0
2025-01-24,977148.9466,-0.022851053399999932,0.0
2025-01-27,977148.9466,-0.022851053399999932,0.0
2025-02-05,977148.9466,-0.022851053399999932,0.0
2025-02-06,977148.9466,-0.022851053399999932,0.0
2025-02-07,977148.9466,-0.022851053399999932,0.0
2025-02-10,977148.9466,-0.022851053399999932,0.0
2025-02-11,977148.9466,-0.022851053399999932,0.0
2025-02-12,976856.7589,-0.02314324109999999,0.9970335887287475
2025-02-13,992298.7589,-0.007701241100000034,0.9970797515627124
2025-02-14,999256.7589,-0.0007432411000000139,0.9971000857645536
2025-02-17,996890.7589000001,-0.003109241099999882,0.9970932031678199
2025-02-18,999256.7589,-0.0007432411000000139,0.9971000857645536
2025-02-19,1010456.7589,0.010456758899999974,0.9971322286931361
2025-02-20,998556.7589,-0.0014432410999999368,0.9970980528906617
2025-02-21,1008503.7589000001,0.008503758900000102,0.9971266751616664
2025-02-24,1002105.7589,0.0021057588999999766,0.9971083302592922
2025-02-25,984556.7589,-0.01544324109999995,0.9970567883732395
2025-02-26,988763.7589000002,-0.011236241099999766,0.9970693111737592
2025-02-27,1006648.7589,0.00664875889999994,0.9971213803480307
2025-02-28,1017309.7589000001,0.017309758900000194,0.9971515471323764
2025-03-03,1007670.7589000002,0.007670758900000241,0.9971242999021194
2025-03-04,995833.7589000001,-0.004166241099999857,0.9970901178293041
2025-03-05,993215.7589000001,-0.006784241099999866,0.9970824477219236
2025-03-06,1020942.7589,0.02094275889999997,0.9971616832826923
2025-03-07,1031456.7589,0.031456758900000104,0.9971906152390814
2025-03-10,1032786.7589000001,0.03278675890000016,0.9971942331027883
2025-03-11,1050832.7589000002,0.05083275890000016,0.9972424166686299
2025-03-12,1046562.7589000001,0.04656275890000017,0.9972311656655489
2025-03-13,1043195.7589000002,0.04319575890000027,0.9972222290253023
2025-03-14,1106363.7589000002,0.10636375890000016,0.9973808262637947
2025-03-17,1113258.7589000002,0.11325875890000026,0.9973970481913266
2025-03-18,1103556.7589000002,0.10355675890000016,0.9973741641500264
2025-03-19,1111753.7589000002,0.11175375890000017,0.997393524531127
2025-03-20,1089556.7589000002,0.08955675890000014,0.9973404240978453
2025-03-21,1068381.7589000002,0.0683817589000002,0.9972877121161412
2025-03-24,1074856.7589000002,0.07485675890000021,0.9973040510970357
2025-03-25,1069606.7589000002,0.06960675890000023,0.9972908184471643
2025-03-26,1069636.6412,0.06963664120000002,0.0
2025-03-27,1069636.6412,0.06963664120000002,0.0
2025-03-28,1069636.6412,0.06963664120000002,0.0
2025-03-31,1069636.6412,0.06963664120000002,0.0
2025-04-01,1069636.6412,0.06963664120000002,0.0
