date,action,grid_price,exec_price,shares,amount,commission,cash,total_shares,position_level,nav
2025-04-07,买入,1450,1450,100,145000,43.49999999999999,854956.5,100,1,999793.5
2025-05-12,卖出,1550,1550,100,155000,46.49999999999999,1009910.0,0,0,1009910.0
2025-06-09,买入,1450,1450,100,145000,43.49999999999999,864866.5,100,1,1008314.5
2025-06-13,买入,1400,1400,100,140000,41.99999999999999,724824.5,200,2,999888.5
