date,nav,return
2025-01-02,1000000.0,0.0
2025-01-03,1000000.0,0.0
2025-01-06,1000000.0,0.0
2025-01-07,1000000.0,0.0
2025-01-08,1000000.0,0.0
2025-01-09,1000000.0,0.0
2025-01-10,1000000.0,0.0
2025-01-13,1000000.0,0.0
2025-01-14,1000000.0,0.0
2025-01-15,1000000.0,0.0
2025-01-16,1000000.0,0.0
2025-01-17,1000000.0,0.0
2025-01-20,1000000.0,0.0
2025-01-21,1000000.0,0.0
2025-01-22,1000000.0,0.0
2025-01-23,1000000.0,0.0
2025-01-24,1000000.0,0.0
2025-01-27,1000000.0,0.0
2025-02-05,1000000.0,0.0
2025-02-06,1000000.0,0.0
2025-02-07,1000000.0,0.0
2025-02-10,1000000.0,0.0
2025-02-11,1000000.0,0.0
2025-02-12,1000000.0,0.0
2025-02-13,1000000.0,0.0
2025-02-14,1000000.0,0.0
2025-02-17,1000000.0,0.0
2025-02-18,1000000.0,0.0
2025-02-19,1000000.0,0.0
2025-02-20,1000000.0,0.0
2025-02-21,1000000.0,0.0
2025-02-24,1000000.0,0.0
2025-02-25,1000000.0,0.0
2025-02-26,1000000.0,0.0
2025-02-27,1000000.0,0.0
2025-02-28,1000000.0,0.0
2025-03-03,1000000.0,0.0
2025-03-04,1000000.0,0.0
2025-03-05,1000000.0,0.0
2025-03-06,1000000.0,0.0
2025-03-07,1000000.0,0.0
2025-03-10,1000000.0,0.0
2025-03-11,1000000.0,0.0
2025-03-12,1000000.0,0.0
2025-03-13,1000000.0,0.0
2025-03-14,1000000.0,0.0
2025-03-17,1000000.0,0.0
2025-03-18,1000000.0,0.0
2025-03-19,1000000.0,0.0
2025-03-20,1000000.0,0.0
2025-03-21,1000000.0,0.0
2025-03-24,1000000.0,0.0
2025-03-25,1000000.0,0.0
2025-03-26,1000000.0,0.0
2025-03-27,1000000.0,0.0
2025-03-28,1000000.0,0.0
2025-03-31,1000000.0,0.0
2025-04-01,1000000.0,0.0
2025-04-02,1000000.0,0.0
2025-04-03,1000000.0,0.0
2025-04-07,999793.5,-0.00020649999999999835
2025-04-08,1004293.5,0.00429349999999995
2025-04-09,1003897.5,0.003897500000000109
2025-04-10,1004693.5,0.004693499999999906
2025-04-11,1006691.5,0.006691500000000072
2025-04-14,1004992.5,0.004992499999999955
2025-04-15,1005593.5,0.005593500000000029
2025-04-16,1005710.5,0.005710499999999952
2025-04-17,1006793.5,0.006793499999999897
2025-04-18,1006387.5,0.00638749999999999
2025-04-21,1004893.5,0.004893500000000106
2025-04-22,1004673.5,0.004673499999999997
2025-04-23,1004993.5,0.004993500000000095
2025-04-24,1005018.5,0.005018500000000037
2025-04-25,1004793.5,0.004793499999999895
2025-04-28,1004793.5,0.004793499999999895
2025-04-29,1004193.5,0.004193499999999961
2025-04-30,1004493.5,0.004493499999999928
2025-05-06,1004813.5,0.004813500000000026
2025-05-07,1005293.5,0.005293500000000062
2025-05-08,1007612.5,0.007612500000000022
2025-05-09,1008911.5,0.008911499999999961
2025-05-12,1009910.0,0.009910000000000085
2025-05-13,1009910.0,0.009910000000000085
2025-05-14,1009910.0,0.009910000000000085
2025-05-15,1009910.0,0.009910000000000085
2025-05-16,1009910.0,0.009910000000000085
2025-05-19,1009910.0,0.009910000000000085
2025-05-20,1009910.0,0.009910000000000085
2025-05-21,1009910.0,0.009910000000000085
2025-05-22,1009910.0,0.009910000000000085
2025-05-23,1009910.0,0.009910000000000085
2025-05-26,1009910.0,0.009910000000000085
2025-05-27,1009910.0,0.009910000000000085
2025-05-28,1009910.0,0.009910000000000085
2025-05-29,1009910.0,0.009910000000000085
2025-05-30,1009910.0,0.009910000000000085
2025-06-03,1009910.0,0.009910000000000085
2025-06-04,1009910.0,0.009910000000000085
2025-06-05,1009910.0,0.009910000000000085
2025-06-06,1009910.0,0.009910000000000085
2025-06-09,1008314.5,0.008314500000000002
2025-06-10,1007204.5,0.007204500000000058
2025-06-11,1007703.5,0.007703500000000085
2025-06-12,1005603.5,0.0056035000000000945
2025-06-13,999888.5,-0.00011150000000004212
2025-06-16,998956.5,-0.001043499999999975
2025-06-17,999898.5,-0.00010149999999997661
2025-06-18,999498.5,-0.0005015000000000436
2025-06-19,999698.5,-0.0003014999999999546
2025-06-20,1000230.5,0.00023050000000002235
2025-06-23,998498.5,-0.0015015000000000445
2025-06-24,1001938.5,0.0019385000000000652
2025-06-25,1001670.5,0.0016704999999999082
2025-06-26,1004033.1,0.004033100000000012
2025-06-27,1000651.1,0.0006511000000000156
2025-06-30,1001937.1000000001,0.001937100000000136
2025-07-01,1001053.1,0.001053100000000029
2025-07-02,1001953.1,0.00195309999999993
2025-07-03,1003153.1,0.0031531000000000198
2025-07-04,1004477.1,0.004477099999999901
2025-07-07,1002173.1,0.002173100000000039
2025-07-08,1003255.1,0.0032551000000000663
2025-07-09,1003809.1,0.0038091000000000097
2025-07-10,1005333.1,0.0053330999999998685
2025-07-11,1005433.1,0.0054331000000000795
2025-07-14,1004753.1,0.004753100000000066
2025-07-15,1002233.1,0.002233099999999988
2025-07-16,1002239.1000000001,0.0022391000000001604
2025-07-17,1003303.1,0.0033030999999998922
2025-07-18,1007433.1,0.007433100000000081
2025-07-21,1008633.1,0.00863309999999995
2025-07-22,1013029.1,0.013029100000000016
2025-07-23,1015133.1,0.0151330999999999
2025-07-24,1018333.1,0.01833309999999999
2025-07-25,1011033.1,0.011033099999999907
2025-07-28,1007765.0999999999,0.007765099999999858
2025-07-29,1007833.1,0.007833100000000037
2025-07-30,1009921.1,0.009921099999999905
2025-07-31,1004367.1,0.004367100000000068
2025-08-01,1003433.1,0.0034331000000000778
2025-08-04,1003833.1,0.0038331000000000337
2025-08-05,1005581.1,0.0055810999999998945
2025-08-06,1004809.1,0.0048090999999998996
2025-08-07,1004503.1,0.004503099999999982
2025-08-08,1004227.1,0.004227100000000039
2025-08-11,1009033.1,0.009033099999999905
2025-08-12,1007441.1000000001,0.007441100000000089
2025-08-13,1004043.1,0.004043100000000077
2025-08-14,1005431.1,0.005431100000000022
2025-08-15,1004449.1,0.004449099999999984
2025-08-18,1005733.1,0.0057331000000000465
2025-08-19,1007633.1,0.007633100000000059
2025-08-20,1010033.1,0.010033100000000017
2025-08-21,1009683.1,0.009683099999999945
2025-08-22,1012823.1,0.012823100000000087
2025-08-25,1018099.1,0.018099099999999924
2025-08-26,1016355.1,0.016355099999999956
2025-08-27,1009633.1,0.009633100000000061
2025-08-28,1009253.1,0.009253100000000014
2025-08-29,1016033.1,0.016033100000000022
2025-09-01,1015253.1,0.01525310000000002
2025-09-02,1018293.1,0.01829309999999995
2025-09-03,1016143.1,0.016143100000000077
2025-09-04,1014565.1,0.014565099999999997
2025-09-05,1016633.1,0.016633099999999956
2025-09-08,1020279.1,0.020279099999999994
2025-09-09,1021033.1,0.021033099999999916
2025-09-10,1024435.1000000001,0.024435100000000043
2025-09-11,1024733.1,0.024733099999999952
2025-09-12,1023233.1,0.023233099999999896
2025-09-15,1023053.1,0.02305310000000005
2025-09-16,1020029.1,0.02002909999999991
2025-09-17,1018633.1,0.018633099999999958
2025-09-18,1013625.1,0.013625100000000057
2025-09-19,1013627.1,0.013627099999999892
2025-09-22,1010703.1,0.010703099999999965
2025-09-23,1009517.1,0.009517100000000056
2025-09-24,1008433.1,0.008433099999999971
2025-09-25,1007833.1,0.007833100000000037
2025-09-26,1007033.1,0.007033099999999903
2025-09-29,1012205.1,0.01220510000000008
2025-09-30,1008831.1,0.00883109999999987
2025-10-09,1007389.1000000001,0.007389100000000148
2025-10-10,1006033.1,0.0060331000000000135
2025-10-13,1003873.1,0.0038731000000000737
2025-10-14,1010237.1000000001,0.01023710000000011
2025-10-15,1012433.1,0.012433099999999975
2025-10-16,1017015.1,0.01701510000000006
2025-10-17,1011033.1,0.011033099999999907
2025-10-20,1011619.1,0.011619099999999882
2025-10-21,1012485.1000000001,0.012485100000000138
2025-10-22,1011773.1,0.01177309999999987
2025-10-23,1013629.1,0.01362909999999995
2025-10-24,1010033.1,0.010033100000000017
2025-10-27,1008115.1,0.00811509999999993
2025-10-28,1009033.1,0.009033099999999905
2025-10-29,1006413.1,0.00641310000000006
2025-10-30,1005381.1,0.0053810999999999165
2025-10-31,1006035.1000000001,0.006035100000000071
2025-11-03,1007033.1,0.007033099999999903
2025-11-04,1005833.1,0.0058331000000000355
2025-11-05,1004049.1,0.004049100000000028
2025-11-06,1007059.1,0.007059099999999985
2025-11-07,1006699.1000000001,0.006699100000000069
2025-11-10,1012493.1,0.012493099999999924
2025-11-11,1011831.1,0.011831099999999983
2025-11-12,1013063.1,0.013063099999999883
2025-11-13,1014109.1,0.014109099999999986
2025-11-14,1011353.1,0.011353100000000005
2025-11-17,1014233.1,0.014233099999999999
2025-11-18,1015233.1,0.015233099999999888
2025-11-19,1014235.1000000001,0.014235100000000056
2025-11-20,1013455.1,0.013455100000000053
2025-11-21,1013353.1,0.013353100000000007
2025-11-24,1010433.1,0.010433099999999973
2025-11-25,1008963.1,0.00896309999999989
2025-11-26,1009863.1,0.009863100000000014
2025-11-27,1009493.1,0.009493100000000032
2025-11-28,1010133.1,0.010133100000000006
2025-12-01,1009633.1,0.009633100000000061
2025-12-02,1007239.1000000001,0.007239100000000054
2025-12-03,1005853.1,0.0058530999999999445
2025-12-04,1004829.1,0.004829100000000031
2025-12-05,1006035.1000000001,0.006035100000000071
2025-12-08,1003677.1,0.0036770999999999887
2025-12-09,1000235.1000000001,0.0002351000000000436
2025-12-10,1000593.1,0.000593099999999902
2025-12-11,1002431.1,0.0024310999999999083
2025-12-12,1004163.1,0.004163099999999975
2025-12-15,1005233.1,0.0052330999999998795
2025-12-16,1004433.1,0.004433099999999968
2025-12-17,1006653.1,0.006653100000000078
2025-12-18,1006233.1,0.006233099999999991
2025-12-19,1006824.5,0.006824500000000011
2025-12-22,1006476.5,0.006476499999999996
2025-12-23,1006396.5,0.006396499999999916
2025-12-24,1005004.5,0.005004500000000078
2025-12-25,1007658.5,0.0076585000000000125
2025-12-26,1007650.5,0.0076505000000000045
2025-12-29,1005224.5,0.005224499999999965
2025-12-30,1002768.5,0.0027684999999999516
2025-12-31,1000260.5,0.00026049999999999685
