stock_code,report_date,roe,net_profit,gross_margin,debt_ratio,net_margin,operating_cashflow,total_equity
000100.SZ,2025-03-31,1.8976,207533999.0,13.2381,67.122,0.5173,12074907584.0,131563752022.0
000100.SZ,2025-06-30,3.5284,31683000.0,13.4142,67.7024,0.037,27273983000.0,129342157000.0
000100.SZ,2025-09-30,5.3407,482547787.0,12.7633,67.5831,0.3546,33836602144.0,123719565728.0
000157.SZ,2022-03-31,1.5812,936054348.62,20.0707,54.3412,9.3494,589988021.55,59622523247.12
000157.SZ,2022-06-30,3.0673,1758735098.69,20.7815,56.521,8.2572,1857312306.03,56680804520.99
000157.SZ,2022-09-30,3.917,2215954464.03,20.9719,56.3455,7.2301,1125957104.89,55553863801.09
000157.SZ,2022-12-31,4.1324,2384638065.19,21.8307,53.886,5.728,2424632272.28,56975221403.56
000157.SZ,2023-03-31,1.4818,858749739.8,26.3938,55.9136,8.237,285973243.1,57158891854.53
000157.SZ,2023-06-30,3.7789,2220119657.71,27.8954,58.1614,9.2216,931174530.98,55894855634.75
000157.SZ,2023-09-30,5.2452,3062661152.45,27.7558,58.436,8.6238,1142237660.61,56830600143.77
000157.SZ,2023-12-31,6.3087,3770921694.76,27.1319,54.7866,8.0105,2712551743.37,59167277210.9
000157.SZ,2024-03-31,1.6123,1020477772.43,28.654,54.8495,8.6678,307030468.77,60046430396.29
000157.SZ,2024-06-30,4.0767,2542055781.11,28.3106,54.9902,10.3607,824534396.52,58823374076.46
000157.SZ,2024-09-30,5.5303,3492352149.85,28.3715,53.2478,10.1564,1207754698.86,60154057322.51
000157.SZ,2024-12-31,6.2009,4008812478.08,28.1673,51.6443,8.8148,2142055023.05,59838049498.27
000157.SZ,2025-03-31,2.4422,1516030838.61,28.6745,53.0771,12.5117,739807989.11,60909811983.27
000157.SZ,2025-06-30,4.8386,2899545393.01,28.1461,54.0553,11.666,1751780276.34,59375805209.23
000157.SZ,2025-09-30,6.7907,4104921987.86,28.0988,53.8006,11.0479,2866113330.72,60570144080.19
000166.SZ,2022-03-31,1.1196,1126975331.58,,82.5829,23.3316,8583559593.22,107961965824.01
000166.SZ,2022-06-30,3.5173,3632574165.73,,82.7237,28.3377,25517521798.27,107969649710.83
000166.SZ,2022-09-30,4.4542,4540381571.55,,80.7738,25.145,3509871164.84,118658094884.89
000166.SZ,2022-12-31,2.9317,3139547308.03,,80.9694,15.2334,37181121690.01,116679692865.08
000166.SZ,2023-03-31,2.089,2199810498.39,,81.1475,38.1573,29569645649.26,119277692497.6
000166.SZ,2023-06-30,3.8639,4270038623.06,,80.7713,34.8873,48244730960.61,122828247820.69
000166.SZ,2023-09-30,4.4662,5013852886.14,,79.6064,30.7922,50164115326.49,125007324505.91
000166.SZ,2023-12-31,4.7199,5475202954.22,,79.7314,25.4653,69247276362.39,128794134222.37
000166.SZ,2024-03-31,1.3725,1656724643.77,,79.1481,29.1658,-12579208313.59,130975536060.05
000166.SZ,2024-06-30,2.107,2862730033.15,,78.5668,35.3552,-20261447396.7,130182203248.37
000166.SZ,2024-09-30,3.7885,4711039906.37,,80.4304,37.5015,64490363330.23,131541370395.57
000166.SZ,2024-12-31,5.0853,6250514391.62,,80.8845,25.2699,26417679792.44,133348925644.77
000166.SZ,2025-03-31,1.8708,2246863297.16,,79.8247,41.0052,16857018413.64,135473333016.65
000166.SZ,2025-06-30,4.0178,4803096663.89,,79.9692,41.068,16583240702.22,136620324573.42
000166.SZ,2025-09-30,7.4232,8792800746.19,,80.6721,45.0926,3363362384.94,139542014714.98
000301.SZ,2022-03-31,2.4768,682521594.44,12.2631,80.4027,4.9554,492533459.15,27969020725.28
000301.SZ,2022-06-30,5.4775,1626081282.75,11.9094,78.7725,5.3769,6106634459.32,32124845168.56
000301.SZ,2022-09-30,5.2806,1574082337.24,8.7118,79.2945,3.3701,3200082552.6,32085613173.16
000301.SZ,2022-12-31,1.9107,599592142.23,7.8413,78.718,0.9387,1741736080.88,36345086884.48
000301.SZ,2023-03-31,1.9887,731843367.95,14.3172,79.2096,2.4769,2461604116.83,36423594488.17
000301.SZ,2023-06-30,4.6357,1726560009.17,13.5118,78.901,2.6186,7946408639.58,36796496448.36
000301.SZ,2023-09-30,6.7598,2533416728.69,12.913,79.9043,2.4436,6598622757.76,37631303087.67
000301.SZ,2023-12-31,1.9986,711193754.07,11.2691,81.341,0.5064,8342940306.17,35492181070.98
000301.SZ,2024-03-31,0.6945,244197053.53,10.8855,82.2325,0.6647,981011987.36,35829775681.97
000301.SZ,2024-06-30,0.9036,303964877.79,10.6149,82.5959,0.4173,2020427905.56,35231066980.22
000301.SZ,2024-09-30,-4.1285,-1444849302.32,8.5839,83.9195,-1.3341,3354011045.28,33451782832.37
000301.SZ,2024-12-31,-6.611,-2283873644.82,8.4347,81.6594,-1.6589,10474825680.95,37472143879.53
000301.SZ,2025-03-31,0.9946,349094098.75,9.8918,82.1691,1.1518,-2691660545.33,38301640937.73
000301.SZ,2025-06-30,1.1264,388016602.42,10.1413,82.1992,0.637,2811195924.26,37975309524.35
000301.SZ,2025-09-30,0.3698,109712128.23,9.9173,82.2635,0.119,11788101976.09,37743811689.44
