trade_date,close,day_chg,vol_ratio,mcap_yi,sector_chg,sector_rise,v1_pass,v2_pass,v2_reason,dragon_score,future_ret
2025-09-01,68.82,0.0424,0.94,954.1,0.0082,0.5,0,0,,1.74,-0.1709
2025-09-02,63.66,-0.075,1.17,882.5,-0.0545,0.04,0,0,,0.485,-0.0151
2025-09-03,64.64,0.0154,0.62,896.1,-0.0126,0.28,0,0,,1.277,0.0226
2025-09-04,58.18,-0.0999,0.81,806.6,-0.0456,0.02,0,0,,0.163,0.1323
2025-09-05,64.0,0.1,0.97,887.2,0.0537,1.0,0,0,,3.193,0.0781
2025-09-08,65.61,0.0252,1.28,909.6,-0.0052,0.38,0,0,,1.508,0.2193
2025-09-09,65.65,0.0006,0.95,910.1,-0.0218,0.12,0,0,,1.196,0.143
2025-09-10,72.22,0.1001,0.96,1001.2,0.0261,0.92,0,0,,3.035,0.0278
2025-09-11,79.44,0.1,0.98,1101.3,0.0753,1.0,0,0,,3.196,0.0028
2025-09-12,76.35,-0.0389,1.22,1058.5,0.0068,0.44,0,0,,0.926,0.073
2025-09-15,77.65,0.017,0.84,1076.5,-0.0107,0.18,0,0,,1.338,0.0284
2025-09-16,79.71,0.0265,1.04,1105.0,0.0171,0.82,0,0,,2.456,-0.0679
2025-09-17,82.61,0.0364,1.02,1145.2,0.0018,0.44,0,0,,1.568,-0.0016
2025-09-18,80.11,-0.0303,1.02,1110.6,0.0025,0.46,0,0,,0.901,-0.0495
2025-09-19,78.3,-0.0226,0.65,1085.5,-0.0069,0.22,0,0,,0.905,-0.0404
2025-09-22,79.98,0.0215,0.8,1108.8,0.0139,0.64,0,0,,2.081,-0.1084
2025-09-23,76.5,-0.0435,1.01,1060.5,-0.0148,0.16,0,0,,0.766,-0.0857
2025-09-24,74.85,-0.0216,0.88,1037.7,0.0009,0.58,0,0,,1.161,0.0053
2025-09-25,74.09,-0.0102,1.3,1027.1,-0.0101,0.2,0,0,,1.159,-0.0205
2025-09-26,68.58,-0.0744,1.12,950.7,-0.033,0.06,0,0,,0.481,0.016
2025-09-29,73.39,0.0701,0.83,1017.4,0.016,0.78,0,0,,2.81,-0.0536
2025-09-30,71.5,-0.0258,0.64,991.2,0.001,0.36,0,0,,0.871,-0.0864
2025-10-09,69.69,-0.0253,0.74,966.1,0.0133,0.72,0,0,,1.726,-0.1223
2025-10-10,68.67,-0.0146,0.75,952.0,-0.0278,0.06,0,0,,1.004,-0.0198
2025-10-13,65.6,-0.0447,0.98,909.4,-0.0159,0.16,0,0,,0.75,-0.0617
2025-10-14,61.0,-0.0701,1.26,845.7,-0.0311,0.08,0,0,,0.551,-0.0243
2025-10-15,62.51,0.0248,0.79,866.6,0.0281,0.9,0,0,,2.83,0.0109
2025-10-16,62.68,0.0027,0.85,868.9,-0.007,0.26,0,0,,1.198,0.0846
2025-10-17,59.53,-0.0503,0.85,825.3,-0.0478,0.02,0,0,,0.667,0.1161
2025-10-20,63.2,0.0616,1.64,876.2,0.0232,0.9,0,0,,3.174,0.0306
2025-10-21,68.33,0.0812,1.65,947.3,0.0353,0.96,0,0,,3.641,0.0374
2025-10-22,68.63,0.0044,1.19,951.4,-0.0025,0.36,0,0,,1.282,0.1163
2025-10-23,65.75,-0.042,0.71,911.5,-0.0019,0.48,0,0,,0.722,0.1136
2025-10-24,69.15,0.0517,1.08,958.6,0.0508,0.98,0,0,,3.234,0.025
2025-10-27,74.47,0.0769,1.13,1032.4,0.0254,0.88,0,0,,3.31,-0.0182
2025-10-28,73.9,-0.0077,0.74,1024.5,0.0128,0.66,0,0,,1.784,-0.1046
2025-10-29,74.62,0.0097,0.83,1034.5,0.0156,0.66,0,0,,2.087,-0.0551
2025-10-30,72.65,-0.0264,0.7,1007.2,-0.0286,0.1,0,0,,0.876,-0.032
2025-10-31,68.5,-0.0571,0.87,949.6,-0.0191,0.22,0,0,,0.603,0.0103
2025-11-03,69.29,0.0115,0.8,960.6,0.0047,0.52,0,0,,1.325,0.0757
2025-11-04,69.22,-0.001,0.9,959.6,-0.0019,0.28,0,0,,1.17,0.1085
2025-11-05,68.6,-0.009,0.72,951.0,0.0109,0.64,0,0,,1.639,0.0684
2025-11-06,75.46,0.1,2.03,1046.1,0.0185,0.84,1,0,v2-6: 涨幅 +10.00% > 9.5% (近涨停),2.945,0.0213
2025-11-07,73.04,-0.0321,1.16,1012.6,-0.0146,0.16,0,0,,0.912,0.0163
2025-11-10,74.03,0.0136,1.09,1026.3,-0.0106,0.24,0,0,,1.354,-0.0576
