trade_date,close,day_chg,vol_ratio,mcap_yi,sector_chg,sector_rise,v1_pass,v2_pass,v2_reason,dragon_score,future_ret
2025-11-11,75.9,0.0253,1.37,1052.2,-0.0142,0.22,0,0,,1.526,-0.0565
2025-11-12,75.51,-0.0051,0.89,1046.8,-0.0037,0.26,0,0,,1.126,-0.0434
2025-11-13,72.17,-0.0442,0.71,1000.5,0.0006,0.56,0,0,,0.849,0.04
2025-11-14,69.11,-0.0424,0.71,958.1,-0.0244,0.14,0,0,,0.718,0.0373
2025-11-17,70.79,0.0243,0.7,981.4,0.0061,0.5,0,0,,1.43,-0.0014
2025-11-18,72.8,0.0284,0.85,1009.2,-0.0012,0.38,0,0,,1.454,-0.1012
2025-11-19,71.69,-0.0152,0.6,993.9,-0.0214,0.06,0,0,,0.968,-0.1263
2025-11-20,70.6,-0.0152,0.81,978.7,0.0081,0.62,0,0,,1.435,0.0188
2025-11-21,64.73,-0.0831,1.18,897.4,-0.0472,0.02,0,0,,0.405,0.1251
2025-11-24,64.35,-0.0059,1.0,892.1,0.0168,0.78,0,0,,2.114,0.1318
2025-11-25,69.29,0.0768,1.26,960.6,0.0342,0.92,0,0,,3.52,0.098
2025-11-26,74.0,0.068,1.75,1025.9,0.0042,0.38,0,0,,2.03,0.0111
2025-11-27,73.58,-0.0057,1.08,1020.1,-0.0016,0.52,0,0,,1.208,-0.0101
2025-11-28,75.06,0.0201,0.87,1040.6,0.0113,0.74,0,0,,2.127,-0.0299
2025-12-01,75.56,0.0067,0.83,1047.5,0.02,0.74,0,0,,2.333,-0.076
2025-12-02,73.26,-0.0304,0.67,1015.6,-0.0078,0.22,0,0,,0.829,-0.0334
2025-12-03,72.61,-0.0089,0.75,1006.6,-0.0082,0.2,0,0,,1.061,0.0416
2025-12-04,69.3,-0.0456,1.48,960.7,0.003,0.38,0,0,,0.84,0.1202
2025-12-05,70.12,0.0118,0.76,972.1,0.0107,0.76,0,0,,1.999,0.142
2025-12-08,75.36,0.0747,1.54,1044.7,0.0338,0.96,0,0,,3.555,0.0501
2025-12-09,77.8,0.0324,1.57,1078.6,0.0199,0.72,0,0,,2.732,0.0577
2025-12-10,80.57,0.0356,1.6,1117.0,-0.0113,0.24,0,0,,1.676,0.001
2025-12-11,78.76,-0.0225,0.7,1091.9,-0.0261,0.06,0,0,,0.915,0.0022
2025-12-12,84.86,0.0775,2.13,1176.4,-0.0025,0.4,1,0,v2-8: 板块涨 -0.25% < 0.5%,2.201,0.0051
2025-12-15,80.11,-0.056,0.88,1110.6,-0.0153,0.2,0,0,,0.617,-0.0456
2025-12-16,78.18,-0.0241,0.49,1083.8,-0.0137,0.18,0,0,,0.856,-0.025
2025-12-17,81.41,0.0413,0.56,1128.6,0.0295,0.94,0,0,,3.006,0.0349
2025-12-18,76.35,-0.0622,0.64,1058.5,-0.0235,0.1,0,0,,0.506,0.056
2025-12-19,75.62,-0.0096,0.4,1048.3,-0.0066,0.4,0,0,,0.984,0.1015
2025-12-22,81.82,0.082,1.23,1134.3,0.0351,0.94,0,0,,3.567,0.0515
2025-12-23,81.31,-0.0062,0.72,1127.2,-0.0012,0.38,0,0,,1.082,0.0438
2025-12-24,84.1,0.0343,1.29,1165.9,0.0335,1.0,0,0,,3.1,0.0157
2025-12-25,85.88,0.0212,1.39,1190.6,-0.0042,0.42,0,0,,1.49,0.0309
2025-12-26,85.49,-0.0045,0.91,1185.2,-0.0027,0.26,0,0,,1.137,0.0042
2025-12-29,88.0,0.0294,1.13,1220.0,0.0129,0.74,0,0,,2.334,
2025-12-30,87.4,-0.0068,0.87,1211.6,-0.0075,0.22,0,0,,1.106,
2025-12-31,84.65,-0.0315,0.65,1173.5,-0.0078,0.26,0,0,,0.814,
