signal_date,buy_date,sell_date,code,name,sector_2,sector_1,buy_open,sell_close,ret,score,day_change,vol_ratio,sector_chg,sector_rise
2025-04-07,2025-04-08,2025-04-10,600313.SH,农发种业,种植业,农林牧渔,7.01,7.22,0.03,5.503,0.0803,12.38,0.047,0.7
2025-04-07,2025-04-08,2025-04-10,300087.SZ,荃银高科,种植业,农林牧渔,10.19,11.61,0.1394,5.411,0.0711,9.16,0.047,0.7
2025-04-07,2025-04-08,2025-04-10,000998.SZ,000998.SZ,种植业,农林牧渔,11.16,11.68,0.0466,5.363,0.0663,13.41,0.047,0.7
2025-04-07,2025-04-08,2025-04-10,601952.SH,苏垦农发,种植业,农林牧渔,10.21,10.94,0.0715,5.331,0.0631,10.33,0.047,0.7
2025-04-07,2025-04-08,2025-04-10,002321.SZ,002321.SZ,养殖业,农林牧渔,2.53,2.75,0.087,3.949,0.05,6.87,0.0144,0.476
2025-06-19,2025-06-20,2025-06-24,300332.SZ,300332.SZ,燃气,公用事业,5.41,5.04,-0.0684,3.127,0.0923,2.05,0.018,0.7
