ts_code,name,industry,roe_2023,roe_2024,debt_to_assets,netprofit_yoy
603596.SH,伯特利,汽车配件,18.0324,19.7637,45.72,35.5977
301595.SZ,太力科技,橡胶,24.3063,19.7511,31.6768,3.156
002318.SZ,久立特材,特种钢,22.1138,19.7089,42.7028,0.1235
603312.SH,西典新能,电气设备,36.6165,19.6049,39.1949,14.9879
301600.SZ,慧翰股份,通信设备,29.6082,19.5843,26.0365,37.5358
601567.SH,三星医疗,电气设备,18.5627,19.5737,49.8542,18.6907
603979.SH,金诚信,铜,15.4532,19.5506,46.6547,53.5864
600938.SH,中国海油,石油开采,19.599,19.5082,29.0496,11.3797
605099.SH,共创草坪,文教休闲,18.0372,19.4701,16.5768,18.5577
002884.SZ,凌霄泵业,机械基件,17.252,19.4185,7.1228,15.3015
300880.SZ,迦南智能,电器仪表,17.3813,19.4029,31.3616,25.4873
601975.SH,招商南油,水运,18.9896,19.379,15.0828,23.3818
603277.SH,银都股份,专用机械,19.0768,19.2747,34.0095,5.8921
002749.SZ,国光股份,农药化肥,18.5649,18.9329,15.5128,21.5196
002270.SZ,华明装备,电气设备,16.2301,18.8559,28.6325,13.2546
603100.SH,川仪股份,电器仪表,20.203,18.8212,48.0365,4.6008
301687.SZ,新广益,化工原料,16.0494,18.6595,18.8139,38.927
002014.SZ,永新股份,塑料,17.2308,18.5367,38.8895,14.6326
605599.SH,菜百股份,服饰,19.6558,18.5146,44.1892,1.7291
301538.SZ,骏鼎达,塑料,24.1736,18.361,15.593,26.0051
603210.SH,泰鸿万立,汽车配件,20.1794,18.3322,49.3896,9.9258
001376.SZ,百通能源,供气供热,15.2421,18.2878,33.1458,45.6103
600885.SH,宏发股份,电气设备,17.5914,18.2797,39.3046,17.0894
301602.SZ,超研股份,医疗保健,17.3365,18.2608,13.4565,26.1203
001388.SZ,信通电子,电气设备,19.1265,18.2598,44.3312,15.1079
001356.SZ,富岭股份,塑料,21.7247,18.1376,34.6451,2.0521
002315.SZ,焦点科技,互联网,16.0668,18.125,39.9269,19.089
603676.SH,卫信康,化学制药,16.714,18.0622,25.2601,15.0233
603391.SH,力聚热能,专用机械,28.2964,18.0511,30.6928,8.5099
601689.SH,拓普集团,汽车配件,16.5985,18.0029,47.839,39.5214
002028.SZ,思源电气,电气设备,15.9463,18.0029,46.0871,31.4205
002835.SZ,同为股份,IT设备,15.3209,17.9977,20.9162,33.1158
002615.SZ,哈尔斯,家居用品,17.4407,17.9736,49.2176,14.7178
300015.SZ,爱尔眼科,医疗保健,18.9087,17.9733,34.4104,5.8706
300969.SZ,恒帅股份,汽车配件,20.0843,17.9531,18.5741,5.7451
688389.SH,普门科技,医疗保健,20.3042,17.9531,29.1974,5.1164
300627.SZ,华测导航,通信设备,16.2249,17.8934,31.2431,29.8932
301552.SZ,科力装备,汽车配件,29.3871,17.8857,16.6087,9.5875
300547.SZ,川环科技,汽车配件,15.5357,17.7126,23.6731,25.1506
300453.SZ,三鑫医疗,医疗保健,17.7937,17.6934,36.6245,10.0517
001337.SZ,四川黄金,黄金,19.195,17.6271,27.1936,17.6693
300360.SZ,炬华科技,电器仪表,18.1969,17.5734,17.03,9.4465
